"","from","to","weight","type","subtype","name"
"335",20,15,32.6967286994907,"pottery","decor","dragged_comb"
"336",20,16,68.267895082343,"pottery","decor","dragged_comb"
"337",20,17,68.1891566732592,"pottery","decor","dragged_comb"
"338",15,16,73.7254967996604,"pottery","decor","dragged_comb"
"339",15,17,73.6404637351443,"pottery","decor","dragged_comb"
"340",16,17,153.754814381912,"pottery","decor","dragged_comb"
"341",7,8,247.06867671608,"pottery","decor","twisted_cord_roulette"
"342",7,9,247.102931216087,"pottery","decor","twisted_cord_roulette"
"343",7,3,72.8903034632066,"pottery","decor","twisted_cord_roulette"
"344",7,21,151.515151545455,"pottery","decor","twisted_cord_roulette"
"345",7,10,5.83771161783421,"pottery","decor","twisted_cord_roulette"
"346",7,11,57.1687326781004,"pottery","decor","twisted_cord_roulette"
"347",7,12,70.0700700806807,"pottery","decor","twisted_cord_roulette"
"348",7,20,494.417862932217,"pottery","decor","twisted_cord_roulette"
"349",7,18,416.66666675,"pottery","decor","twisted_cord_roulette"
"350",7,14,259.481038051896,"pottery","decor","twisted_cord_roulette"
"351",7,19,400.00000008,"pottery","decor","twisted_cord_roulette"
"352",7,5,260.441864218755,"pottery","decor","twisted_cord_roulette"
"353",7,6,71.0770777225488,"pottery","decor","twisted_cord_roulette"
"354",7,15,234.861346962649,"pottery","decor","twisted_cord_roulette"
"355",7,16,64.1025641128205,"pottery","decor","twisted_cord_roulette"
"356",7,17,53.169734160634,"pottery","decor","twisted_cord_roulette"
"357",8,9,219.78501913369,"pottery","decor","twisted_cord_roulette"
"358",8,3,64.8320789335839,"pottery","decor","twisted_cord_roulette"
"359",8,21,134.764732727273,"pottery","decor","twisted_cord_roulette"
"360",8,10,5.19233646200926,"pottery","decor","twisted_cord_roulette"
"361",8,11,50.8485712559896,"pottery","decor","twisted_cord_roulette"
"362",8,12,62.323630147123,"pottery","decor","twisted_cord_roulette"
"363",8,20,439.758601526135,"pottery","decor","twisted_cord_roulette"
"364",8,18,370.603015,"pottery","decor","twisted_cord_roulette"
"365",8,14,230.794692043511,"pottery","decor","twisted_cord_roulette"
"366",8,19,355.7788944,"pottery","decor","twisted_cord_roulette"
"367",8,5,231.649296221729,"pottery","decor","twisted_cord_roulette"
"368",8,6,63.2193103106343,"pottery","decor","twisted_cord_roulette"
"369",8,15,208.896775857386,"pottery","decor","twisted_cord_roulette"
"370",8,16,57.0158484592578,"pottery","decor","twisted_cord_roulette"
"371",8,17,47.2916730785723,"pottery","decor","twisted_cord_roulette"
"372",9,3,64.841067488822,"pottery","decor","twisted_cord_roulette"
"373",9,21,134.783417,"pottery","decor","twisted_cord_roulette"
"374",9,10,5.19305634642252,"pottery","decor","twisted_cord_roulette"
"375",9,11,50.8556210868608,"pottery","decor","twisted_cord_roulette"
"376",9,12,62.3322709218974,"pottery","decor","twisted_cord_roulette"
"377",9,20,439.819571258192,"pottery","decor","twisted_cord_roulette"
"378",9,18,370.65439675,"pottery","decor","twisted_cord_roulette"
"379",9,14,230.826690259089,"pottery","decor","twisted_cord_roulette"
"380",9,19,355.82822088,"pottery","decor","twisted_cord_roulette"
"381",9,5,231.681412922739,"pottery","decor","twisted_cord_roulette"
"382",9,6,63.2280752657644,"pottery","decor","twisted_cord_roulette"
"383",9,15,208.925738066214,"pottery","decor","twisted_cord_roulette"
"384",9,16,57.0237533438729,"pottery","decor","twisted_cord_roulette"
"385",9,17,47.2982297681427,"pottery","decor","twisted_cord_roulette"
"386",3,21,39.7583473356155,"pottery","decor","twisted_cord_roulette"
"387",3,10,1.5318452562639,"pottery","decor","twisted_cord_roulette"
"388",3,11,15.0013665786487,"pottery","decor","twisted_cord_roulette"
"389",3,12,18.3867432113736,"pottery","decor","twisted_cord_roulette"
"390",3,20,129.737764988439,"pottery","decor","twisted_cord_roulette"
"391",3,18,109.335455172943,"pottery","decor","twisted_cord_roulette"
"392",3,14,68.0891457563464,"pottery","decor","twisted_cord_roulette"
"393",3,19,104.962036966025,"pottery","decor","twisted_cord_roulette"
"394",3,5,68.3412714354053,"pottery","decor","twisted_cord_roulette"
"395",3,6,18.6509871446478,"pottery","decor","twisted_cord_roulette"
"396",3,15,61.6288134421342,"pottery","decor","twisted_cord_roulette"
"397",3,16,16.820839256703,"pottery","decor","twisted_cord_roulette"
"398",3,17,13.9520090033151,"pottery","decor","twisted_cord_roulette"
"399",21,10,3.18420633636364,"pottery","decor","twisted_cord_roulette"
"400",21,11,31.1829450909091,"pottery","decor","twisted_cord_roulette"
"401",21,12,38.2200382181818,"pottery","decor","twisted_cord_roulette"
"402",21,20,269.682470636364,"pottery","decor","twisted_cord_roulette"
"403",21,18,227.272727272727,"pottery","decor","twisted_cord_roulette"
"404",21,14,141.535111636364,"pottery","decor","twisted_cord_roulette"
"405",21,19,218.181818181818,"pottery","decor","twisted_cord_roulette"
"406",21,5,142.059198636364,"pottery","decor","twisted_cord_roulette"
"407",21,6,38.7693151136364,"pottery","decor","twisted_cord_roulette"
"408",21,15,128.106189226733,"pottery","decor","twisted_cord_roulette"
"409",21,16,34.9650349636364,"pottery","decor","twisted_cord_roulette"
"410",21,17,29.0016731727273,"pottery","decor","twisted_cord_roulette"
"411",10,11,1.20144446927392,"pottery","decor","twisted_cord_roulette"
"412",10,12,1.47257590323178,"pottery","decor","twisted_cord_roulette"
"413",10,20,10.3905680448588,"pottery","decor","twisted_cord_roulette"
"414",10,18,8.756567425,"pottery","decor","twisted_cord_roulette"
"415",10,14,5.45319169141437,"pottery","decor","twisted_cord_roulette"
"416",10,19,8.406304728,"pottery","decor","twisted_cord_roulette"
"417",10,5,5.47338418528346,"pottery","decor","twisted_cord_roulette"
"418",10,6,1.49373893597996,"pottery","decor","twisted_cord_roulette"
"419",10,15,4.93579012750425,"pottery","decor","twisted_cord_roulette"
